CDS Code,[Lookup] District Master,County,District Name,District Type,Grade Levels,Student Enrollment (2024-25),Number of Schools (2024-25),County Superintendent (CCESSA) Region,Locale Classifications,Percent of Republican Votes (2020),Percent of Democratic Votes (2020),Overall Political Leaning (2020),Percent of Republican Votes (2024),Percent of Democratic Votes (2024),Overall Political Leaning (2024),Mean Income of Population in District Area,Median Income of Population in District Area,Student to Teacher Ratio,Average Chronic Absenteeism Rate,Expense per ADA (2022-23),Number of Title I Schools (2023-24),Average Pollution Burden Percentile,Percent English Learners (2024-25),Percent Unduplicated Students (2024-25),Percent of Students Receiving FRM (2024-25),Funding sources for sustainability efforts identified in LCAP,LCAP Funding Status,LCAP Direct Funding Total,LCAP Lumped Funding Total,Description of Funding,Environmental Vision or Goals Identified in LCAP,Description of vision or goals in LCAP (from [Lookup] District Master),Key Terms Identified in LCAP,Total GO Bonds and Parcel Taxes Attempted (2010 - 2029),Total GO Bonds and Parcel Taxes Passed (2010 - 2029),Most Recent Passed GO Bond Measure Year (2010-2029),Total Amount of GO Bond Measure Funding ($) (2010-2029),2024_election_bond_language,2023_election_bond_language,2022_election_bond_language,2021_election_bond_language,2020_election_bond_language,2019_election_bond_language,2018_election_bond_language,2017_election_bond_language,2016_election_bond_language,2015_election_bond_language,2014_election_bond_language,2013_election_bond_language,2012_election_bond_language,2011_election_bond_language,2010_election_bond_language,Environmental and Climate Literacy and Action Overall Indicator Status (20 points)
36750510000000,36750510000000,San Bernardino,Lucerne Valley Unified,Unified School District,TK-Adult,14031,11,10,Rural,69.2,29.4,Mildly Republican,70.6,27.1,Mildly Republican,$77739.00,$63854.64,34,56.43,$21302.11,4,21.46%,6.19,55.53,41.88,0,No Funding,,,N/A,0,N/A,N/A,1,0,,$0.00,,,,,,,,,,,,,,,,7.75
36677770000000,36677770000000,San Bernardino,Morongo Unified,Unified School District,TK-12,7225,16,10,Town,53.4,43.2,Neutral,54.3,42.5,Neutral,$72674.33,$54607.67,19,34.98,$18132.77,16,15.06%,3.27,73.07,71.82,1,Lumped Funding,,$20000,"portion of $20,000 allotted towards ""PVES will incorporate additional learning opportunities during the school
day, such as environmental learning and STEM Lab Robotics, """,1,"Action 4.7, Engaging Learning Opportunities (PVES), complemented Action 4.6 by incorporating hands-on, interest-driven learning
experiences such as environmental education and STEM Lab Robotics. This action also targeted chronic absenteeism and contributed to the
same positive outcomes under Metric M4.12, reinforcing the idea that meaningful, engaging learning opportunities can significantly improve
student attendance, especially for SED, SWD, and HI students.","environmental education, STEM",2,1,2024,$88300000.00,"November 5, 2024: To repair or replace aging roofs; modernize/renovate classrooms, restrooms and school facilities; upgrade aging electrical systems; and improve outdated technology; shall the Morongo Unified School District measure authorizing $88,300,000 in bonds, at legal rates, generating on average $5,361,000 annually as long as bonds are outstanding at a rate of approximately $36.19 per $100,000 of assessed value, be adopted, with annual audits, independent citizens' oversight, NO money for teacher or administrator salaries and all money staying local?",,,,,,,,,,,,,,,9.50
36677850000000,36677850000000,San Bernardino,Mountain View Elementary,Elementary School District,K-8,3318,5,10,Urban,38.2,59.8,Neutral,44.8,52.8,Neutral,$110489.22,$90872.11,29,27.88,$13740.38,3,93.71%,14.01,60.04,49.40,0,No Funding,,,N/A,0,N/A,N/A,1,1,2024,$56000000.00,"November 5, 2024: To repair and improve aging neighborhood schools, improve fire safety/school security systems, fix deteriorating roofs, plumbing, electrical and repair, construct and acquire classrooms, labs, sites, facilities and equipment to support student achievement in math, science, technology, arts, and engineering, shall Mountain View School District's School Facilities Improvement District No. 3 measure authorizing $56,000,000 in bonds at legal rates be adopted, levying $26 per $100,000 assessed value (averaging $3,500,000 annually) while bonds are outstanding, with independent oversight, audits, and all money locally-controlled?",,,,,,,,,"April 14, 2015: To provide for the acquisition, construction, installation, improvement, expansion and the equipping of school facilities, including the acquisition of land, for the benefit of the area and land included within School Facilities Improvement District No. 2 of the Mountain View School District, shall Mountain View School District issue $171 million in bonds of School Facilities Improvement District No. 2 of the Mountain View School District at legal rates, with independent oversight and annual audits?",,,,,,4.00
36677930000000,36677930000000,San Bernardino,Mt. Baldy Joint Elementary,Elementary School District,K-8,20,2,10,Rural,61.2,35.2,Mildly Republican,57.3,38.5,Neutral,$130534.50,$75005.50,4,26.00,$14644.76,0,46.71%,0.00,10.00,0.00,1,Direct Funding,$5000,,"$5,000 allotted for ""the district will support teachers and staff in meeting the
expectations and vision for outdoor education at MBS. Based on what
research tells us about the benefits of purposeful learning from a natural
environment, we have developed a plan for our outdoor education
program, as measured by M 2.2 and 2.3."" - Pg. 17",1,"MBS makes intentional use of our natural surroundings to integrate CCSS & NGSS in an outdoor learning environment to improve percentage of students meeting or exceeding the standard, as measured by the California Science Test (CAST) over the course of the three-year LCAP cycle - equipping our students to be responsible stewards of the environment. - Pg. 14","environment, outdoor",1,0,,$0.00,,,,,,,,,,,,,,,,2.50
36678010000000,36678010000000,San Bernardino,Needles Unified,Unified School District,K-12,921,7,10,Town,60.5,37.6,Mildly Republican,59.4,38.0,Neutral,$62360.17,$46133.50,20,48.21,$25094.61,5,32.11%,0.11,82.19,77.85,0,No Funding,,,N/A,0,N/A,N/A,1,0,,$0.00,,,,,,,,,,,,,,,,3.50
36678190000000,36678190000000,San Bernardino,Ontario-Montclair,Elementary School District,K-8,17695,34,10,Urban,33.3,64.3,Mildly Democratic,41.4,55.7,Neutral,$89848.24,$76014.09,19,23.35,$22156.47,33,79.32%,26.16,89.17,87.60,0,No Funding,,,N/A,0,N/A,N/A,2,0,,$0.00,,,,,,,,,"November 8, 2016: To repair aging classrooms in order to maintain student health/safety and retain/attract quality teachers, remove asbestos/lead paint, repair restrooms/leaky, deteriorating roofs, upgrade disabled access, school security/fire safety, increase water conservation/energy efficiency, improve technology/computer/science labs, repair, construct, acquire/retrofit school facilities, sites/equipment, shall Ontario-Montclair School District issue $150,000,000 in bonds, at legal rates, requiring independent audits, citizens� oversight, keeping all funds local?",,,,,,,6.50
36678270000000,36678270000000,San Bernardino,Oro Grande,Unified School District,TK-12,6141,9,10,Suburban,64.8,33.2,Mildly Republican,61.0,36.6,Mildly Republican,$77370.00,$55257.00,25,44.60,$128348.11,1,50.38%,12.02,83.65,81.92,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,3.00
36678430000000,36678430000000,San Bernardino,Redlands Unified,Unified School District,TK-Adult,19443,28,10,Urban,45.3,52.3,Neutral,47.9,49.0,Neutral,$120688.57,$97133.68,20,26.38,$18602.53,21,57.70%,7.44,65.83,64.35,0,No Funding,,,N/A,0,N/A,N/A,1,1,2024,$500000000.00,"November 5, 2024: To retain/attract quality teachers, provide healthy/safe classrooms by protecting students from extreme heat, repairing deteriorating roofs/sewer lines, removing mold/asbestos/lead, providing safe drinking water, upgrading safety, career/vocational, science/engineering classrooms, shall Redlands Unified School District's measure authorizing $500,000,000 in bonds at legal rates, levying $45 per $100,000 of assessed valuation, averaging $25,300,000 annually while bonds are outstanding, be adopted, requiring oversight, spending disclosure, funds used locally?",,,,,,,,,,,,,,,3.50
36678500000000,36678500000000,San Bernardino,Rialto Unified,Unified School District,TK-Adult,23069,30,10,Suburban,29.9,67.9,Mildly Democratic,40.5,56.8,Neutral,$98437.68,$82736.26,21,34.92,$18814.40,29,65.14%,19.09,85.26,77.75,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,"November 8, 2022: To upgrade school fire/security/safety systems, science, engineering, math, arts, vocational classrooms; replace drinking water pipes, gas lines, leaky roofs, portable classrooms, electrical wiring; remove asbestos, lead paint, mold, shall Rialto Unified School District�s measure authorizing $340,000,000 in bonds at legal rates, levying 6� per $100 of assessed valuation raising on average $16,314,271 annually while bonds are outstanding, be adopted, requiring independent audits/oversight, and all funds for local schools?",,,,,,,,,,,,"November 2, 2010: To improve the quality of education, shall the Rialto Unified School District be authorized to acquire, construct and improve classrooms and support facilities, provide career and technical classrooms, including science labs, to enhance preparation for college and careers, replace portable facilities with permanent classrooms, and increase student access to modern technology, by issuing $98,000,000 in bonds, at legal rates, with an independent Citizens' Oversight Committee, annual financial and performance audits, and no money for administrators?",10.50
36678680000000,36678680000000,San Bernardino,Rim of the World Unified,Unified School District,TK-12,2877,8,10,Town,58.0,39.9,Neutral,58.2,38.9,Neutral,$108701.73,$83889.87,21,41.29,$17685.84,7,30.34%,8.31,63.61,61.52,0,No Funding,,,N/A,0,N/A,N/A,2,2,2024,$221000000.00,"November 5, 2024: To improve school safety and security systems, repair/replace deteriorating roofs, plumbing, heating, cooling/ electrical systems, remove asbestos/ lead pipes and upgrade, acquire, construct classrooms, facilities, sites/equipment to support college and career readiness in science, math, engineering, arts, and skilled trades, shall Rim of the World Unified School District's measure authorizing $71,000,000 bonds at legal rates be adopted, levying 3 cents per $100 assessed value ($4,000,000 annually) while bonds are outstanding, with citizen oversight, audits and all money staying local?",,,,,,,,,,,,,,,4.00
36678760000000,36678760000000,San Bernardino,San Bernardino City Unified,Unified School District,TK-Adult,48949,86,10,Urban,34.9,62.7,Mildly Democratic,44.4,52.8,Neutral,$84940.93,$67798.79,22,37.94,$21873.92,71,59.91%,20.65,92.58,90.68,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,"November 6, 2012: To make schools clean and safe and provide educational opportunities by repairing and replacing leaky roofs, deteriorating classrooms, fire alarms, security/electrical systems, removing asbestos, providing educationa opportunities by updating classroom technology, science labs, and vocational education programs, and acquiring, constructing, repairing classrooms, sites, facilities and equipment shall San Bernardino City Unified School District issue $250,000,000 bonds at legal rates, requiring annual audits, citizen oversight, no money for administrators' salaries/pensions or Sacramento, keeping all funds local?",,,9.50
36738900000000,36738900000000,San Bernardino,Silver Valley Unified,Unified School District,TK-12,2188,10,10,Town,64.5,31.2,Mildly Republican,69.4,27.8,Mildly Republican,$74328.22,$53631.63,18,31.91,$21570.38,5,45.96%,4.75,68.46,67.00,0,No Funding,,,N/A,0,N/A,N/A,1,0,,$0.00,,,,,,,,,,,,,,,,3.50
36739570000000,36739570000000,San Bernardino,Snowline Joint Unified,Unified School District,TK-12,8085,14,10,Rural,57.4,40.2,Neutral,61.8,35.8,Mildly Republican,$98845.72,$73210.28,24,35.41,$15008.05,10,24.45%,12.63,77.86,63.57,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,"November 5, 2024: To improve the quality of local schools, repair or replace leaky roofs; improve school safety and security; replace outdated plumbing, electrical, and sewer systems; renovate, upgrade, and construct science labs, classrooms, and restrooms; shall Snowline Joint Unified School District's measure authorizing $70,600,000 in bonds at legal interest rates be adopted, levying an average 4¢ per $100 assessed value while bonds are outstanding, generating approximately $3,900,000 annually, with annual audits, independent oversight, NO funds for salaries, all money staying local?",,,,,,,,,,,,,,,7.50
36678920000000,36678920000000,San Bernardino,Trona Joint Unified,Unified School District,TK-12,258,2,10,Rural,60.2,34.2,Mildly Republican,72.3,24.7,Mildly Republican,$76164.80,$53032.20,13,48.30,$31253.66,2,55.92%,2.33,77.52,75.97,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,3.00
36750690000000,36750690000000,San Bernardino,Upland Unified,Unified School District,TK-Adult,9496,15,10,Suburban,46.0,51.9,Neutral,50.4,46.5,Neutral,$137168.76,$109931.36,21,27.19,$16954.53,9,66.70%,8.24,69.56,66.33,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,8.25
36679180000000,36679180000000,San Bernardino,Victor Elementary,Elementary School District,K-6,12320,20,10,Suburban,44.9,52.8,Neutral,49.4,48.0,Neutral,$94517.04,$71831.78,24,38.07,$17344.73,18,28.30%,14.81,86.57,21.87,0,No Funding,,,N/A,0,N/A,N/A,2,2,2022,$438000000.00,,,,,,,,,,,,,,,,4.50
36679340000000,36679340000000,San Bernardino,Victor Valley Union High,High School District,7-Adult,12446,13,10,Suburban,44.1,53.5,Neutral,49.2,48.2,Neutral,$89388.35,$70279.59,28,30.14,$19299.96,10,27.21%,12.66,86.43,83.87,0,No Funding,,,N/A,0,N/A,N/A,3,2,2024,$360000000.00,"November 5, 2024: To attract quality teachers, reduce high school overcrowding, prepare students for college and careers by: expanding the number of classrooms, including vocational/science/engineering labs; up-to-date school security/safe drinking water systems; shall Victor Valley Union High School District's measure authorizing $180,000,000 in bonds at legal rates, levying $23 per $100,000 of assessed valuation, raising approximately $10,000,000 annually while bonds are outstanding be adopted, requiring oversight, public spending disclosure, all funds be spent locally?
November 5, 2024: To retain quality teachers, ensure health/safe classrooms by: removing asbestos, mold, lead paint; providing safe drinking water; repairing leaky roofs, gas lines; upgrading 911 systems, vocational/career classrooms/labs, shall Victor Valley Union High School District's measure authorizing $180,000,000 in bonds at legal rates, levying $23 per $100,000 of assessed valuation, raising approximately $10,000,000 annually while bonds are outstanding be adopted, requiring oversight, public spending disclosure, all funds be spent locally?",,,,,,,,,,,,,,,4.50
36679590000000,36679590000000,San Bernardino,Yucaipa-Calimesa Joint Unified,Unified School District,TK-Adult,9460,15,10,Suburban,62.6,35.3,Mildly Republican,65.4,32.3,Mildly Republican,$123927.37,$101591.11,23,41.86,$17931.30,12,39.19%,7.20,61.22,58.96,0,No Funding,,,N/A,0,N/A,N/A,1,1,2012,$250000000.00,,,,,,,,,,,,,,,,6.50
37679670000000,37679670000000,San Diego,Alpine Union Elementary,Elementary School District,K-8,1441,6,9,Suburban,65.8,32.1,Mildly Republican,68.9,29.0,Mildly Republican,$129790.64,$107369.70,20,23.86,$15536.86,5,22.44%,4.65,38.10,15.82,0,No Funding,,,N/A,0,N/A,N/A,2,0,,$0.00,,,,,,,,,,,,,,,,2.50
37768510000000,37768510000000,San Diego,Bonsall Unified,Unified School District,TK-12,2277,6,9,Suburban,52.5,45.1,Neutral,54.6,42.9,Neutral,$138053.53,$119072.35,23,17.00,$16359.96,4,38.48%,8.87,51.60,49.54,0,No Funding,,,N/A,0,N/A,N/A,1,0,,$0.00,,,,,,,,,,,,,,,,6.50
37679830000000,37679830000000,San Diego,Borrego Springs Unified,Unified School District,K-12,3066,4,9,Rural,52.0,45.6,Neutral,51.3,46.1,Neutral,$73512.00,$64224.00,25,29.43,$24655.93,3,33.23%,23.22,80.95,64.12,0,No Funding,,,N/A,0,N/A,N/A,2,0,,$0.00,,,,,,,"November 6, 2018: To improve the quality of education with funding that cannot be taken by the state; modernize outdated classrooms, restrooms and school facilities; and make safety and security improvements; shall Borrego Springs Unified School District issue $8,600,000 of bonds at legal interest rates, raising an average $560,000 annually as long as bonds are outstanding, at a rate of 6 cents per $100 assessed value, have an independent citizens' oversight committee with NO money for salaries?",,,,,,,,,2.50
37679910000000,37679910000000,San Diego,Cajon Valley Union,Elementary School District,TK-8,18527,30,9,Suburban,54.9,43.0,Neutral,58.2,39.6,Neutral,$115158.81,$92406.87,24,32.55,$18517.25,17,33.57%,34.47,84.98,80.83,0,No Funding,,,N/A,0,N/A,N/A,2,1,2018,$8600000.00,,,,,,,,,"November 8, 2016: To increase student access to computers; maintain and upgrade educational technology; keep pace with 21st century technological innovations; implement statewide technology requirements for testing and learning; and significantly reduce borrowing costs, shall Cajon Valley Union School District issue $20,000,000 of shortterm bonds with the interest rates at or below the legal limit, independent citizen oversight, and no money for administrator/teacher salaries, so long as all funds are spent locally and cannot be taken by the State?",,,,"November 6, 2012: To increase student computer/technology access; continue renovating, repairing, equipping and constructing elementary classrooms/school facilities; improve energy efficiency; and reduce overall borrowing costs, shall $88,400,000 of Cajon Valley Union School District bonds, previously approved by voters in February 2008, be reauthorized through issuance of new bonds, with no increase in total authorized District debt, interest rates below legal limits, independent citizen oversight, no money for administrator salaries, and all funds spent locally and not taken by the State?",,,7.50
37680070000000,37680070000000,San Diego,Cardiff Elementary,Elementary School District,K-6,641,2,9,Suburban,28.9,69.0,Mildly Democratic,31.4,65.5,Mildly Democratic,$186696.00,$137547.22,16,14.30,$19813.12,2,39.04%,4.84,13.88,10.45,1,Lumped Funding,,$480000,"portion of $480,000 for Garden '(K-3 only)' - Pg. 15",0,N/A,N/A,5,2,2016,$108200000.00,,,,,,,,,"November 8, 2016: To improve the quality of education with local funding that cannot be taken by the State; modernize/construct classrooms, restrooms and school facilities; repair/replace roofs; renovate deteriorating plumbing and sewer systems; upgrade inadequate electrical systems; make health, safety, and energy efficiency improvements; and replace portables with permanent classrooms; shall Cardiff Elementary School District issue $22 million of bonds at legal interest rates, have an independent citizens� oversight committee, and have NO money used for administrative or teacher salaries?",,,,,,,10.50
37735510000000,37735510000000,San Diego,Carlsbad Unified,Unified School District,TK-Adult,10708,18,9,Urban,40.2,57.7,Neutral,41.1,56.2,Neutral,$152935.75,$117165.71,22,21.21,$15516.18,3,35.12%,4.54,31.16,29.97,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,"November 6, 2018: To upgrade classrooms, science labs and technology that support student achievement, college preparation and career skills for math, science, engineering, healthcare and skilled trades; fix deteriorating roofs, plumbing/wiring; improve safety and security; renovate, construct, acquire classrooms, sites, equipment/facilities, shall this Carlsbad Unified School District measure authorizing $265,000,000 in bonds at legal rates, levying 3 cents/$100 assessed value ($13,000,000 annually) while bonds are outstanding, be adopted, with taxpayer oversight, no administrator salaries, all money staying local?",,,,,,,,,11.25
37680230000000,37680230000000,San Diego,Chula Vista Elementary,Elementary School District,TK-6,28827,52,9,Urban,33.9,64.2,Mildly Democratic,41.2,56.3,Neutral,$118912.05,$102769.18,21,23.66,$16629.33,32,40.88%,27.26,62.49,53.82,0,No Funding,,,N/A,0,N/A,N/A,2,2,2024,$382000000.00,"November 5, 2024: With funds that cannot be taken by the State and spent elsewhere, shall Chula Vista Elementary School District’s measure to upgrade emergency communications and security systems; repair deteriorating roofs; ensure accessibility for the disabled; and renovate aging playground equipment and existing classrooms be adopted, authorizing $360 million of bonds levying approximately $29 per $100,000 of assessed valuation (raising $22 million annually) while outstanding, with legal rates, independent oversight, eligibility for State matching funds and full public disclosure of spending?",,,,"March 3, 2020: To make student safety and campus security improvements throughout the District and renovate, construct, acquire, equip and furnish school facilities/classrooms, including roofs, plumbing, solar panels, heating /air conditioning and electrical systems, shall the Chula Vista Elementary School District measure authorizing $300 million of bonds at legal interest rates, with projected levies of $0.03 cents per $100 assessed valuation raising approximately $16.7 million for annual repayment while bonds are outstanding, and requiring annual audits and citizens� oversight, be adopted?",,"November 6, 2018: To make school safety, security, technology and energy efficiency improvements; repair, construct, acquire and equip classrooms and educational facilities and reduce overcrowding; and replace aging plumbing, sewer and electrical systems shall Chula Vista Elementary School District issue $150 million in bonds at legal rates, levy $0.02 per $100 of assessed valuation (raising an average of $10 million annually) while bonds are outstanding, with taxpayer oversight, annual audits and no projected increase in the District's current bond tax rate?",,,,,,"November 6, 2012: To repair, renovate, construct, and upgrade classrooms and school facilities; increase student access to computers and modern technology; replace temporary classrooms; upgrade heating systems; and make energy cost-saving improvements, shall School Facilities Improvement District No. 1 of the Chula Vista Elementary School District be authorized to issue $90 million of bonds with legal interest rates, annual audits, independent citizens� oversight, and all funds spent locally and no money used for administrative salaries or taken by the State and spent elsewhere?",,,4.50
37680310000000,37680310000000,San Diego,Coronado Unified,Unified School District,K-Adult,2763,5,9,Suburban,45.2,52.7,Neutral,42.7,54.5,Neutral,$195541.63,$144404.50,19,11.63,$18829.93,1,52.83%,3.00,18.17,10.68,0,No Funding,,,N/A,0,N/A,N/A,1,1,2018,$265000000.00,,,,,,,,,,,,,,,,6.00
37680490000000,37680490000000,San Diego,Dehesa Elementary,Elementary School District,TK-8,13576,6,9,Rural,64.9,33.3,Mildly Republican,68.2,29.9,Mildly Republican,$152428.86,$125218.29,32,32.00,$33866.28,1,14.84%,1.52,35.91,24.20,0,No Funding,,,N/A,0,N/A,N/A,3,2,2020,$450000000.00,,,,,,,,,,,,,"November 6, 2012: To increase student computer/technology access; repair, equip and construct classrooms/science lab/library/school facilities; and reduce overall borrowing costs, shall $3,000,000 of Dehesa School District bonds, previously approved by voters in November 2010, be reauthorized through issuance of new bonds, with no increase in total authorized District debt, interest rates below legal limits, independent citizen oversight, no money for administrator salaries, and all funds spent locally and not taken by the State?",,"November 2, 2010: To improve student acces to computers and modern technology; replace portable classrooms and construct new classrooms; build a new science lab and library and other educational facilities; shall Dehesa School District be authorized to issue $5.5 million of bonds within legal interest rates, so long as there is an independent local citizens' oversight commitee and no funds can be taken by the State and spent elsewhere?",3.75
37680560000000,37680560000000,San Diego,Del Mar Union Elementary,Elementary School District,K-6,3494,10,9,Urban,33.3,64.6,Mildly Democratic,32.0,64.7,Mildly Democratic,$245114.79,$168729.73,15,10.76,$20036.50,3,28.09%,13.57,21.44,9.79,0,No Funding,,,N/A,0,N/A,N/A,1,0,,$0.00,,,,,,,"November 6, 2018: To improve Del Mar neighborhood elementary schools, repair/upgrade/reconstruct deteriorated school facilities, plumbing, roofs, electrical systems, renovate classrooms supporting science, engineering, math, arts instruction; improve safety/security and technology infrastructure; and construct/equip a new elementary school; shall Del Mar Union School District issue $186 million in bonds at legal rates, raising $10.4 million annually over 32 years at approximately 3 cents per $100 of assessed value, with independent citizens' oversight, mandatory audits, all money for Del Mar K-6 schools?",,,,,,,,,7.00
37680800000000,37680800000000,San Diego,Encinitas Union Elementary,Elementary School District,K-6,4298,9,9,Suburban,34.5,63.4,Mildly Democratic,35.5,61.5,Mildly Democratic,$214587.42,$158713.54,19,13.40,$17336.98,3,34.35%,8.49,20.82,19.19,1,Direct Funding,$200000,,"$200,000 allotted for ""All nine schools will receive support for Green Consultants (BCK) to
provide for lessons, units, and extracurricular needs to support green
initiatives aligned with grade level standards.""",1,"Feedback from our educational partners continues to express concerns about student and staff Mental Health and Wellbeing, which makes
our site counselors and our TRAC program important for ongoing SEL support. Our community supports a range of enrichment opportunities
for students. The EUSD Green Team and Maintenance Department have worked hard to maintain and enhance green practices to ensure
the continuation of Environmental Sustainability. - Pg. 20","green, environment, sustaintability",4,3,2024,$166800000.00,"November 5, 2024: To improve the quality of education; replace leaky roofs; upgrade infrastructure including plumbing, sewer, and HVAC; improve safety and security; and construct/renovate/modernize classrooms, restrooms and school facilities; shall Encinitas Union School District's measure be adopted authorizing $158,300,000 of bonds at legal rates, generating on average $9,200,000 annually while bonds are outstanding at a rate of approximately $19 per $100,000 assessed value, with annual audits, independent citizens' oversight, NO money for salaries and all money staying local?",,,,,,,,,,,,,,"November 2, 2010: To improve the quality of education, upgrade computers and technology, improve energy efficiency/water conservation, replace aging roofs, upgrade inadequate electrical, plumbing, heating/ventilation/air-conditiong systems, renovate outdated classrooms, restrooms, and school facilities, and make health, safety and handicapped accessibility improvements, shall Encinitas Union School District acquire, construct, upgrade, and equip school facilities by issuing $44,200,000 of bonds at legal rates, with independent citizens' oversight, no money used for administrative salaries, or be taken by the State?",9.50
37680980000000,37680980000000,San Diego,Escondido Union,Elementary School District,K-8,16654,27,9,Suburban,44.7,52.9,Neutral,46.6,50.5,Neutral,$133070.09,$104349.43,18,37.09,$20056.44,16,33.73%,29.03,72.34,67.92,0,No Funding,,,N/A,0,N/A,N/A,2,1,2018,$186000000.00,,,,,,,,,,,"November 4, 2014: Maintain Quality Education in Escondido Measure. ""To repair/replace outdated classrooms/school buildings with safe, modernized facilities, improve student safety/campus security, keep technology infrastructure up-to-date in K-8 classrooms, science labs, libraries/computer systems, acquire, construct, repair classrooms, sites/equipment, provide all students with access to the education, facilities, and technology needed to succeed in high school/college, shall Escondido Union School District issue $182,100,000 in bonds at legal rates, with citizen oversight, annual audits, and all money for Escondido elementary/middle schools?""",,,,,11.50
37681060000000,37681060000000,San Diego,Escondido Union High,High School District,9-Adult,8751,9,9,Suburban,45.9,51.7,Neutral,47.1,50.0,Neutral,$136273.52,$107232.82,20,36.58,$20289.27,5,32.79%,16.89,68.11,61.88,0,No Funding,,,N/A,0,N/A,N/A,1,1,2010,$44200000.00,,,,,,,,,,,,,,,,8.50
37681140000000,37681140000000,San Diego,Fallbrook Union Elementary,Elementary School District,K-8,5042,10,9,Suburban,53.4,43.9,Neutral,56.1,41.4,Neutral,$141899.77,$110783.41,21,25.12,$21652.60,10,36.04%,24.30,74.79,73.52,1,Lumped Funding,,$3065757,"Foster real-world problem-solving and project-based learning opportunities, including immersive environmental education experiences in authentic settings facilitated through community partnerships and programs like the DeLuz Outdoor Education School. - Pg. 28",1,"Each grade level in
the district participates in
an outdoor education
learning experience - Pg. 21","outdoor, environment",2,1,2014,$182100000.00,,,,,,,,,,,,,,,,3.50
37681220000000,37681220000000,San Diego,Fallbrook Union High,High School District,9-Adult,1999,4,9,Suburban,53.1,44.2,Neutral,56.0,41.5,Neutral,$141143.48,$110070.30,19,35.40,$19812.31,2,36.63%,21.36,72.99,68.83,0,No Funding,,,N/A,0,N/A,N/A,1,0,,$0.00,,,,,,,,,"November 8, 2016: Without increasing tax rates, shall Fallbrook Union High School District repair and upgrade aging classrooms and school facilities, including deteriorating roofs, plumbing and electrical systems; improve campus safety/security; upgrade career-training facilities, classrooms, and science labs supporting instruction in math, engineering, technology, science and skilled trades preparing students to be college and career ready; by issuing $45,000,000 in bonds at legal interest rates, with independent citizens oversight, annual audits, no money for administrators, L554and all funds staying local?",,,,,,,3.00
37681300000000,37681300000000,San Diego,Grossmont Union High,High School District,9-Adult,21694,19,9,Suburban,47.5,50.2,Neutral,51.0,46.5,Neutral,$116085.09,$94254.48,24,38.45,$18855.67,15,34.45%,12.69,64.33,62.00,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,"November 8, 2016: To upgrade East County high school classrooms/labs/facilities; repair aging roofs, plumbing/electrical systems; modernize technology infrastructure; improve student safety/security; replace deteriorated portables; construct new school facilities to accommodate growth; and renovate career-training facilities for instruction in science, technology, engineering, math and skilled trades; shall Grossmont Union High School District issue $128,000,000 in bonds at legal interest rates, with independent citizen oversight, annual audits, no funding for administrator salaries, and all money benefitting East County high schools?",,,,,,,8.50
37681550000000,37681550000000,San Diego,Jamul-Dulzura Union Elementary,Elementary School District,K-8,810,3,9,Suburban,63.3,34.5,Mildly Republican,66.4,31.6,Mildly Republican,$143320.57,$129957.83,24,33.00,$18948.35,2,25.67%,19.51,58.02,38.64,0,No Funding,,,N/A,0,N/A,N/A,1,1,2016,$45000000.00,,,,,,,,,,,,,,,,3.50
37681630000000,37681630000000,San Diego,Julian Union Elementary,Elementary School District,K-8,2286,9,9,Rural,60.6,37.2,Mildly Republican,61.0,36.4,Mildly Republican,$115999.89,$94674.11,30,21.10,$21693.57,2,20.34%,15.31,60.02,49.96,0,No Funding,,,N/A,0,N/A,N/A,1,1,2016,$128000000.00,,,,,,,,,,,,,,,,2.00
37681710000000,37681710000000,San Diego,Julian Union High,High School District,9-12,112,1,9,Rural,60.6,37.2,Mildly Republican,61.0,36.4,Mildly Republican,$115999.89,$94674.11,14,26.60,$42848.85,1,20.34%,9.82,58.04,46.43,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,"November 2, 2010: To maintain a safe and effective quality student learning environment, provide a modern scienc/technology center building and to provide for campus renovations, shall the Julian Union High School District be authorized to issue $2,100,000 in bonds within legal interest rates, including independent citizens' oversight, with mandatory audits, where bond funds will be spent locally, cannot be taken by the State and spent elsewhere, without an increase over projected future tax rates and to qualify for State matching funds?",4.00
